"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","45112"
"BSS total catch (median)","50529"
"BSS 95% CI lower","42356"
"BSS 95% CI upper","62742"
"Catch (PE): Shore","21714"
"Catch (PE): Private Boat","11577"
"Catch (PE): Commercial/Charter","11821"
"Catch % (PE): Shore","48.1"
"Catch % (PE): Private Boat","25.7"
"Catch % (PE): Commercial/Charter","26.2"
"Effort days sampled","200"
"Total interviews","3923"
"BSS fits attempted","4"
"BSS fits passed convergence","3"
