"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-09-16",1.39293615070222,1.15648976845781,1.67269346729572,NA,0
2,"2024-09-17",1.39293615070222,1.15648976845781,1.67269346729572,0.926136363636364,4
3,"2024-09-18",1.39293615070222,1.15648976845781,1.67269346729572,1.125,4
4,"2024-09-19",1.39293615070222,1.15648976845781,1.67269346729572,0.833333333333333,3
5,"2024-09-20",1.13532812508409,0.961100879345179,1.33026139531055,0.942857142857143,7
6,"2024-09-21",1.13532812508409,0.961100879345179,1.33026139531055,1.03939393939394,22
7,"2024-09-22",1.13532812508409,0.961100879345179,1.33026139531055,NA,0
8,"2024-09-23",1.39293615070222,1.15648976845781,1.67269346729572,NA,0
9,"2024-09-24",1.39293615070222,1.15648976845781,1.67269346729572,1.6489898989899,11
10,"2024-09-25",1.39293615070222,1.15648976845781,1.67269346729572,1.82142857142857,7
11,"2024-09-26",1.39293615070222,1.15648976845781,1.67269346729572,NA,0
12,"2024-09-27",1.13532812508409,0.961100879345179,1.33026139531055,1.14583333333333,12
13,"2024-09-28",1.13532812508409,0.961100879345179,1.33026139531055,1.10262345679012,36
14,"2024-09-29",1.13532812508409,0.961100879345179,1.33026139531055,NA,0
15,"2024-09-30",1.55593453524204,1.30031766207529,1.91536752156755,NA,0
16,"2024-10-01",1.55593453524204,1.30031766207529,1.91536752156755,1.23484848484848,11
17,"2024-10-02",1.55593453524204,1.30031766207529,1.91536752156755,NA,0
18,"2024-10-03",1.55593453524204,1.30031766207529,1.91536752156755,1.34166666666667,14
19,"2024-10-04",1.26987675486488,1.0785718087456,1.52959298807928,1.59920634920635,6
20,"2024-10-05",1.26987675486488,1.0785718087456,1.52959298807928,1.18333333333333,20
21,"2024-10-06",1.26987675486488,1.0785718087456,1.52959298807928,NA,0
22,"2024-10-07",1.55593453524204,1.30031766207529,1.91536752156755,NA,0
23,"2024-10-08",1.55593453524204,1.30031766207529,1.91536752156755,2.63888888888889,6
24,"2024-10-09",1.55593453524204,1.30031766207529,1.91536752156755,2.07142857142857,7
25,"2024-10-10",1.55593453524204,1.30031766207529,1.91536752156755,NA,0
26,"2024-10-11",1.26987675486488,1.0785718087456,1.52959298807928,1.0625,4
27,"2024-10-12",1.26987675486488,1.0785718087456,1.52959298807928,1.15972222222222,12
28,"2024-10-13",1.26987675486488,1.0785718087456,1.52959298807928,1.59166666666667,8
29,"2024-10-14",1.35198870194999,1.14310199039797,1.5770000308414,NA,0
30,"2024-10-15",1.35198870194999,1.14310199039797,1.5770000308414,1.52564102564103,13
31,"2024-10-16",1.35198870194999,1.14310199039797,1.5770000308414,1.18888888888889,15
32,"2024-10-17",1.35198870194999,1.14310199039797,1.5770000308414,1.7875,20
33,"2024-10-18",1.10017105612855,0.925209126690797,1.29578427062372,1.33712121212121,22
34,"2024-10-19",1.10017105612855,0.925209126690797,1.29578427062372,0.692592592592593,18
35,"2024-10-20",1.10017105612855,0.925209126690797,1.29578427062372,NA,0
36,"2024-10-21",1.35198870194999,1.14310199039797,1.5770000308414,0.697222222222222,15
37,"2024-10-22",1.35198870194999,1.14310199039797,1.5770000308414,1.10416666666667,8
38,"2024-10-23",1.35198870194999,1.14310199039797,1.5770000308414,1.29791666666667,4
39,"2024-10-24",1.35198870194999,1.14310199039797,1.5770000308414,2.11904761904762,7
40,"2024-10-25",1.10017105612855,0.925209126690797,1.29578427062372,3,1
41,"2024-10-26",1.10017105612855,0.925209126690797,1.29578427062372,1.19246031746032,12
42,"2024-10-27",1.10017105612855,0.925209126690797,1.29578427062372,1.36666666666667,5
43,"2024-10-28",1.56828249423315,1.29260055057916,1.96832200310919,NA,0
44,"2024-10-29",1.56828249423315,1.29260055057916,1.96832200310919,NA,0
45,"2024-10-30",1.56828249423315,1.29260055057916,1.96832200310919,1.44444444444444,3
46,"2024-10-31",1.56828249423315,1.29260055057916,1.96832200310919,2.1875,2
47,"2024-11-01",1.27987254988312,1.089351971666,1.52349214703227,1.8125,12
48,"2024-11-02",1.27987254988312,1.089351971666,1.52349214703227,1.00416666666667,30
49,"2024-11-03",1.27987254988312,1.089351971666,1.52349214703227,NA,0
50,"2024-11-04",1.56828249423315,1.29260055057916,1.96832200310919,NA,0
51,"2024-11-05",1.56828249423315,1.29260055057916,1.96832200310919,1,3
52,"2024-11-06",1.56828249423315,1.29260055057916,1.96832200310919,1.5,6
53,"2024-11-07",1.56828249423315,1.29260055057916,1.96832200310919,1.55,5
54,"2024-11-08",1.27987254988312,1.089351971666,1.52349214703227,1.60714285714286,14
55,"2024-11-09",1.27987254988312,1.089351971666,1.52349214703227,1.47546296296296,18
56,"2024-11-10",1.27987254988312,1.089351971666,1.52349214703227,NA,0
57,"2024-11-11",1.27868784519949,1.03530594752991,1.55034828336583,NA,0
58,"2024-11-12",1.27868784519949,1.03530594752991,1.55034828336583,NA,0
59,"2024-11-13",1.27868784519949,1.03530594752991,1.55034828336583,1.10416666666667,8
60,"2024-11-14",1.27868784519949,1.03530594752991,1.55034828336583,1.07222222222222,15
61,"2024-11-15",1.04217224043322,0.852466578306133,1.25281615945478,0.701666666666667,25
62,"2024-11-16",1.04217224043322,0.852466578306133,1.25281615945478,1.18888888888889,30
63,"2024-11-17",1.04217224043322,0.852466578306133,1.25281615945478,NA,0
64,"2024-11-18",1.27868784519949,1.03530594752991,1.55034828336583,NA,0
65,"2024-11-19",1.27868784519949,1.03530594752991,1.55034828336583,0.333333333333333,8
66,"2024-11-20",1.27868784519949,1.03530594752991,1.55034828336583,NA,0
67,"2024-11-21",1.27868784519949,1.03530594752991,1.55034828336583,1.41666666666667,5
68,"2024-11-22",1.04217224043322,0.852466578306133,1.25281615945478,0.875,2
69,"2024-11-23",1.04217224043322,0.852466578306133,1.25281615945478,1.56481481481481,9
70,"2024-11-24",1.04217224043322,0.852466578306133,1.25281615945478,NA,0
71,"2024-11-25",1.64607337818858,1.34363670983281,2.05173500969654,NA,0
72,"2024-11-26",1.64607337818858,1.34363670983281,2.05173500969654,2.42592592592593,9
73,"2024-11-27",1.64607337818858,1.34363670983281,2.05173500969654,1.86458333333333,8
74,"2024-11-28",1.64607337818858,1.34363670983281,2.05173500969654,NA,0
