"event_date","day_type","day_length","population","subseason","effort_unit","pe_effort_units","pe_cpue","pe_catch","bss_effort_median","bss_effort_lo95","bss_effort_hi95","bss_catch_median","bss_catch_lo95","bss_catch_hi95","combined_effort","combined_catch","method"
2024-09-16,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,6.1,1.8,15.4,10.8,1.6,52,6.1,10.8,"BSS"
2024-09-16,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,75.5,48,121.8,98.6,60.8,164.1,75.5,98.6,"BSS"
2024-09-17,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",4.9,0,0,6,1.8,15.4,10.7,1.6,51.6,6,10.7,"BSS"
2024-09-17,"weekday",5.9,"shore","ring_net_only","gear-deployments",74.3,0.5,37.2,75.3,48.4,120.1,98.4,60.7,162.4,75.3,98.4,"BSS"
2024-09-18,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",8.8,NA,NA,6.2,2,15.8,11.1,1.6,52.9,6.2,11.1,"BSS"
2024-09-18,"weekday",5.9,"shore","ring_net_only","gear-deployments",71.8,1.5,107.8,75.6,49,120,98.9,61.9,162.2,75.6,98.9,"BSS"
2024-09-19,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",2.9,NA,NA,6,1.8,15.1,10.6,1.6,51,6,10.6,"BSS"
2024-09-19,"weekday",5.9,"shore","ring_net_only","gear-deployments",136.2,0.8,113.5,75.4,48.6,121.2,98.3,61.5,162.6,75.4,98.3,"BSS"
2024-09-20,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",0.5,NA,NA,6,1.8,15.4,10.6,1.6,51.4,6,10.6,"BSS"
2024-09-20,"weekday",5.9,"shore","ring_net_only","gear-deployments",71.8,1,74.7,75.4,47.9,122.3,98,60.4,164,75.4,98,"BSS"
2024-09-21,"weekend",5.7,"private_boat","ring_net_only","gear-deployments",NA,3,NA,13.3,3.9,34.3,25,4,149,13.3,25,"BSS"
2024-09-21,"weekend",5.7,"shore","ring_net_only","gear-deployments",118.9,1.1,126.7,152.6,92.4,260.3,169.4,98.8,297.7,152.6,169.4,"BSS"
2024-09-22,"weekend",5.7,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,13.4,3.9,34.3,25.1,4.1,152.3,13.4,25.1,"BSS"
2024-09-22,"weekend",5.7,"shore","ring_net_only","gear-deployments",NA,NA,NA,153.1,93.1,258,169,100.3,292.8,153.1,169,"BSS"
2024-09-23,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,6.1,1.8,15.5,10.7,1.6,51.6,6.1,10.7,"BSS"
2024-09-23,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,75.2,47.7,121.8,98.1,60.4,163.5,75.2,98.1,"BSS"
2024-09-24,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",2.9,NA,NA,6,1.8,15.4,10.7,1.6,52.5,6,10.7,"BSS"
2024-09-24,"weekday",5.9,"shore","ring_net_only","gear-deployments",123.9,1.1,140.4,75.7,48.2,120.3,99,60.8,162.5,75.7,99,"BSS"
2024-09-25,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,6,1.8,15.4,10.7,1.5,51.9,6,10.7,"BSS"
2024-09-25,"weekday",5.9,"shore","ring_net_only","gear-deployments",32.2,1.4,45.8,75.3,48.1,121.5,98.7,60.4,163,75.3,98.7,"BSS"
2024-09-26,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,5.9,1.8,15.2,10.5,1.6,50.8,5.9,10.5,"BSS"
2024-09-26,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,75.4,48.6,122.3,98.8,61.4,163.3,75.4,98.8,"BSS"
2024-09-27,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",4.9,0,0,5.9,1.8,14.8,10.4,1.5,51.2,5.9,10.4,"BSS"
2024-09-27,"weekday",5.9,"shore","ring_net_only","gear-deployments",84.2,1.2,103.9,75.5,48.2,120.9,98.7,61.3,162.2,75.5,98.7,"BSS"
2024-09-28,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",11.8,NA,NA,12.4,3.7,32.3,23.3,3.7,140.3,12.4,23.3,"BSS"
2024-09-28,"weekend",5.6,"shore","ring_net_only","gear-deployments",195.7,1.1,224.8,152.9,93.4,256.7,169.3,99.9,293.9,152.9,169.3,"BSS"
2024-09-29,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,12.5,3.6,32.5,23.6,3.8,138.7,12.5,23.6,"BSS"
2024-09-29,"weekend",5.6,"shore","ring_net_only","gear-deployments",NA,NA,NA,152,92.2,256,168.4,98.7,293.6,152,168.4,"BSS"
2024-09-30,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,5.1,1.5,13.6,11.7,2.7,50.2,5.1,11.7,"BSS"
2024-09-30,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,72.1,45.7,114.3,107.5,66.2,178.3,72.1,107.5,"BSS"
2024-10-01,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",22.5,NA,NA,10.2,4.6,22.4,23.7,7.2,90.6,10.2,23.7,"BSS"
2024-10-01,"weekday",5.9,"shore","ring_net_only","gear-deployments",74.3,1.5,114.6,72.3,46.7,116.7,107.8,67.4,180.3,72.3,107.8,"BSS"
2024-10-02,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,10,4.6,21.9,23.4,7.2,89.1,10,23.4,"BSS"
2024-10-02,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,72.1,46.2,115.1,107.2,65.4,179.6,72.1,107.2,"BSS"
2024-10-03,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",12.9,2,25.7,10.2,4.7,22.3,23.9,7.4,91.3,10.2,23.9,"BSS"
2024-10-03,"weekday",5.9,"shore","ring_net_only","gear-deployments",111.5,1.1,125.4,72.4,46,114.8,108.2,67.1,177.1,72.4,108.2,"BSS"
2024-10-04,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",16.1,NA,NA,10.2,4.6,22.5,23.7,7.2,89.5,10.2,23.7,"BSS"
2024-10-04,"weekday",5.9,"shore","ring_net_only","gear-deployments",71.8,1.3,93.4,72.2,46,114.3,107.7,65.9,176,72.2,107.7,"BSS"
2024-10-05,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",38.6,5,193.1,22.2,10.2,46.9,55.7,15.1,259.6,22.2,55.7,"BSS"
2024-10-05,"weekend",5.6,"shore","ring_net_only","gear-deployments",178.4,1.5,260.1,146.4,89.9,239.3,184.5,109.7,315.2,146.4,184.5,"BSS"
2024-10-06,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,21.6,9.8,47.3,54.5,14.3,257.7,21.6,54.5,"BSS"
2024-10-06,"weekend",5.6,"shore","ring_net_only","gear-deployments",NA,NA,NA,146.1,90.6,241.7,185.2,109.9,316.2,146.1,185.2,"BSS"
2024-10-07,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,10.3,4.7,22,23.9,7.5,91,10.3,23.9,"BSS"
2024-10-07,"weekday",5.9,"shore","ring_net_only","gear-deployments",NA,NA,NA,72.2,46,115.3,107.9,66,179.1,72.2,107.9,"BSS"
2024-10-08,"weekday",5.9,"private_boat","ring_net_only","gear-deployments",0,NA,NA,10.2,4.6,22.3,24,7.3,89.5,10.2,24,"BSS"
2024-10-08,"weekday",5.9,"shore","ring_net_only","gear-deployments",74.3,2.2,164.3,72.5,45.9,115.4,107.8,66.3,180.7,72.5,107.8,"BSS"
2024-10-09,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",9.7,NA,NA,10,4.5,22,23.3,7.2,87.1,10,23.3,"BSS"
2024-10-09,"weekday",5.8,"shore","ring_net_only","gear-deployments",71.8,2.3,162.6,72.2,46.8,114.9,107.8,67.3,177.1,72.2,107.8,"BSS"
2024-10-10,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,10.2,4.6,22.4,23.8,7.3,91.2,10.2,23.8,"BSS"
2024-10-10,"weekday",5.8,"shore","ring_net_only","gear-deployments",NA,NA,NA,72.2,46.8,114.7,107.9,67.3,178.2,72.2,107.9,"BSS"
2024-10-11,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",9.7,6,57.9,9.9,4.5,21.7,23.2,7.2,86.5,9.9,23.2,"BSS"
2024-10-11,"weekday",5.8,"shore","ring_net_only","gear-deployments",34.7,1.3,44.1,72.2,46.2,115.9,107.7,66.7,179.6,72.2,107.7,"BSS"
2024-10-12,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",29,0,0,21.6,9.7,47,54.5,14.5,249.2,21.6,54.5,"BSS"
2024-10-12,"weekend",5.6,"shore","ring_net_only","gear-deployments",153.6,1.1,165.7,146.4,90,239.3,185.4,111,312,146.4,185.4,"BSS"
2024-10-13,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",22.5,2.7,60.1,21.1,9.5,46,53.1,14,247.8,21.1,53.1,"BSS"
2024-10-13,"weekend",5.6,"shore","ring_net_only","gear-deployments",158.5,1.5,231.2,146.5,91.4,245.3,185,111,319.9,146.5,185,"BSS"
2024-10-14,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,2.6,1.1,6,5.6,1.5,22.5,2.6,5.6,"BSS"
2024-10-14,"weekday",5.8,"shore","ring_net_only","gear-deployments",NA,NA,NA,68.3,44,104.4,87.5,55.1,136.9,68.3,87.5,"BSS"
2024-10-15,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",6.4,NA,NA,2.7,1.1,6.2,5.6,1.5,22.3,2.7,5.6,"BSS"
2024-10-15,"weekday",5.8,"shore","ring_net_only","gear-deployments",66.9,1.4,94.9,68.2,44.1,104.9,87.3,54.6,138.9,68.2,87.3,"BSS"
2024-10-16,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",6.4,NA,NA,2.6,1.1,6.2,5.5,1.5,22.4,2.6,5.5,"BSS"
2024-10-16,"weekday",5.8,"shore","ring_net_only","gear-deployments",91.7,1.2,108.7,68.5,44.2,105.3,87.7,55.8,139.3,68.5,87.7,"BSS"
2024-10-17,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",6.4,1.1,7.2,2.6,1.1,6.1,5.5,1.5,22.2,2.6,5.5,"BSS"
2024-10-17,"weekday",5.8,"shore","ring_net_only","gear-deployments",106.5,1.6,168.7,68,44.6,103.7,87.1,55.7,136.2,68,87.1,"BSS"
2024-10-18,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",3.2,NA,NA,2.6,1,6.1,5.5,1.5,22.9,2.6,5.5,"BSS"
2024-10-18,"weekday",5.8,"shore","ring_net_only","gear-deployments",96.6,0.9,90.3,68.2,44.5,103.7,87.5,55.4,136.7,68.2,87.5,"BSS"
2024-10-19,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",0,NA,NA,5.2,2.1,13.2,12,2.4,74.6,5.2,12,"BSS"
2024-10-19,"weekend",5.6,"shore","ring_net_only","gear-deployments",153.6,0.7,104.1,137.5,83.9,227.4,149.4,87.7,255,137.5,149.4,"BSS"
2024-10-20,"weekend",5.6,"private_boat","ring_net_only","gear-deployments",NA,NA,NA,5.4,2.2,13.6,12.6,2.5,76.4,5.4,12.6,"BSS"
2024-10-20,"weekend",5.6,"shore","ring_net_only","gear-deployments",NA,NA,NA,137.7,83.5,224.3,149.2,88.3,255,137.7,149.2,"BSS"
2024-10-21,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",3.2,NA,NA,2.6,1.1,6,5.4,1.4,22.6,2.6,5.4,"BSS"
2024-10-21,"weekday",5.8,"shore","ring_net_only","gear-deployments",71.8,0.8,54.7,68.2,44.2,103.3,87.6,55.5,135.7,68.2,87.6,"BSS"
2024-10-22,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",0,NA,NA,2.6,1.1,6.1,5.4,1.5,22.6,2.6,5.4,"BSS"
2024-10-22,"weekday",5.8,"shore","ring_net_only","gear-deployments",61.9,1.5,90.5,68.2,44.7,103.8,87.3,55.8,137.9,68.2,87.3,"BSS"
2024-10-23,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",0,NA,NA,2.6,1.1,6.2,5.5,1.5,22.6,2.6,5.5,"BSS"
2024-10-23,"weekday",5.8,"shore","ring_net_only","gear-deployments",86.7,1.6,139.7,68.2,44.6,104.4,87.2,56,137.3,68.2,87.2,"BSS"
2024-10-24,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",6.4,4,25.7,2.6,1.1,6.1,5.5,1.5,21.9,2.6,5.5,"BSS"
2024-10-24,"weekday",5.8,"shore","ring_net_only","gear-deployments",59.5,1.9,110.4,68,44.5,105.2,87.3,55.6,138.2,68,87.3,"BSS"
2024-10-25,"weekday",5.8,"private_boat","ring_net_only","gear-deployments",0,NA,NA,2.6,1.1,6.1,5.5,1.4,22.8,2.6,5.5,"BSS"
