"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (gear-deployments)",56793,58115,50058,67628,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row is gear-deployments for both shore and boat (v5.5+)"
"Dungeness_Kept","Catch",85076,93278,76693,117484,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row is gear-deployments for both shore and boat (v5.5+)"
