"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-12-02",1,1.489,0.5423,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.489,0.7244,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.489,0.9332,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.489,0.8308,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.489,0.7244,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.824,0.5506,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.489,0.5423,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.489,0.2134,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.489,0.5423,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.489,0.2134,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.824,0.1455,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.824,0.5506,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.489,0.8944,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.489,0.5423,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.824,0.3871,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.824,0.3871,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.489,0.7244,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.489,0.5423,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.489,0.2134,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.489,0.7244,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.824,0.8123,FALSE,TRUE
"trailer",31,"2024-12-31",2,4.907,0.413,TRUE,TRUE
"trailer",32,"2025-01-01",3,3.835,0.588,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.163,0.2424,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.163,0.2424,FALSE,TRUE
"trailer",35,"2025-01-04",0,2.208,0.1705,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.163,0.2424,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.163,0.9309,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.163,0.6031,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.163,0.6031,TRUE,TRUE
"trailer",42,"2025-01-11",1,2.208,0.4458,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.163,0.9599,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.163,0.2424,FALSE,TRUE
"trailer",48,"2025-01-17",3,1.163,0.8789,FALSE,TRUE
"trailer",49,"2025-01-18",4,2.208,0.8136,FALSE,TRUE
"trailer",52,"2025-01-21",1,1.163,0.6031,TRUE,TRUE
"trailer",53,"2025-01-22",1,1.163,0.6031,TRUE,TRUE
"trailer",54,"2025-01-23",0,1.163,0.2424,FALSE,TRUE
"trailer",55,"2025-01-24",1,1.163,0.6031,TRUE,TRUE
"trailer",56,"2025-01-25",1,2.208,0.4458,TRUE,TRUE
"trailer",60,"2025-01-29",3,1.163,0.8789,FALSE,TRUE
"trailer",61,"2025-01-30",0,1.163,0.2424,FALSE,TRUE
"trailer",62,"2025-01-31",0,1.163,0.2424,FALSE,TRUE
"trailer",63,"2025-02-01",0,1.073,0.2569,TRUE,TRUE
