"Mode","Month","median","lo95","hi95"
"Shore","2024-09",1308,1003,1825
"Shore","2024-10",2606,2099,3298
"Shore","2024-11",2789,2220,3567
"Shore","2024-12",2767,2169,3644
"Shore","2025-01",1259,963,1715
"Shore","2025-02",759,533,1117
"Shore","2025-03",1200,893,1708
"Shore","2025-04",1783,1310,2593
"Shore","2025-05",2216,1596,3398
"Shore","2025-06",2083,1322,3656
"Shore","2025-07",2468,1711,3859
"Shore","2025-08",2655,1981,3824
"Shore","2025-09",1531,1133,2216
"Private Boat","2024-09",2080,1662,2605
"Private Boat","2024-10",3438,2748,4308
"Private Boat","2024-11",610,488,764
"Private Boat","2024-12",1236,695,2358
"Private Boat","2025-01",961,518,1889
"Private Boat","2025-02",293,117,678
"Private Boat","2025-03",907,448,2040
"Private Boat","2025-04",3052,1712,5868
"Private Boat","2025-05",3700,1952,7654
"Private Boat","2025-06",4396,1668,12833
"Private Boat","2025-07",17238,7689,39645
"Private Boat","2025-08",15083,6950,29994
"Private Boat","2025-09",6768,2507,14841
"Commercial/Charter","2024-09",0,0,0
"Commercial/Charter","2024-10",0,0,0
"Commercial/Charter","2024-11",0,0,0
"Commercial/Charter","2024-12",6160,5614,6736
"Commercial/Charter","2025-01",5133,4678,5613
"Commercial/Charter","2025-02",706,643,772
"Commercial/Charter","2025-03",0,0,0
"Commercial/Charter","2025-04",0,0,0
"Commercial/Charter","2025-05",0,0,0
"Commercial/Charter","2025-06",0,0,0
"Commercial/Charter","2025-07",0,0,0
"Commercial/Charter","2025-08",0,0,0
"Commercial/Charter","2025-09",0,0,0
