"Mode","Month","median","lo95","hi95"
"Shore","2024-09",1276,917,1862
"Shore","2024-10",2576,2038,3317
"Shore","2024-11",2434,1880,3193
"Shore","2024-12",2416,1870,3164
"Shore","2025-01",1424,1078,1928
"Shore","2025-02",761,530,1135
"Shore","2025-03",1164,839,1653
"Shore","2025-04",2281,1658,3262
"Shore","2025-05",2275,1639,3407
"Shore","2025-06",2311,1431,4055
"Shore","2025-07",3054,2072,4788
"Shore","2025-08",3167,2342,4618
"Shore","2025-09",1652,1171,2405
"Private Boat","2024-09",347,66,1422
"Private Boat","2024-10",324,102,995
"Private Boat","2024-11",117,24,802
"Private Boat","2024-12",299,108,712
"Private Boat","2025-01",219,79,530
"Private Boat","2025-02",51,13,173
"Private Boat","2025-03",246,84,647
"Private Boat","2025-04",479,165,1198
"Private Boat","2025-05",2467,907,5754
"Private Boat","2025-06",2074,677,5218
"Private Boat","2025-07",7604,2535,18669
"Private Boat","2025-08",9461,3643,20257
"Private Boat","2025-09",2010,660,5341
"Commercial/Charter","2024-09",0,0,0
"Commercial/Charter","2024-10",0,0,0
"Commercial/Charter","2024-11",0,0,0
"Commercial/Charter","2024-12",5997,5463,6572
"Commercial/Charter","2025-01",5096,4643,5585
"Commercial/Charter","2025-02",719,655,788
"Commercial/Charter","2025-03",0,0,0
"Commercial/Charter","2025-04",0,0,0
"Commercial/Charter","2025-05",0,0,0
"Commercial/Charter","2025-06",0,0,0
"Commercial/Charter","2025-07",0,0,0
"Commercial/Charter","2025-08",0,0,0
"Commercial/Charter","2025-09",0,0,0
